Date,Country,Flag,Tier,Location,Company,Job Title,Search Keyword,Job URL,Posted Date,Easy Apply,Remote / Workplace,Match Score,Visa Sponsorship Mentioned,Required Skills,Resume File Path,Applied Status,Notes,Crawl Date,City,City Openings
2026-08-11,Canada,🇨🇦,1,"Niagara Falls, Ontario, Canada",Syensqo,Rotating Reliability Engineer,DevOps Engineer,https://www.linkedin.com/jobs/view/4334423582,2026-08-11,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_CANADA.docx,No,,2026-08-11,Niagara Falls,1
2026-08-11,Australia,🇦🇺,1,"Morwell, Victoria, Australia",Bega Group,Reliability Engineer,Site Reliability Engineer,https://www.linkedin.com/jobs/view/4452178607,2026-08-11,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,2026-08-11,Morwell,1
2026-08-11,Australia,🇦🇺,1,"South Brisbane, Queensland, Australia",Abano Healthcare Group,Data Operations Engineer,Site Reliability Engineer,https://www.linkedin.com/jobs/view/4451604416,2026-08-11,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,2026-08-11,South Brisbane,1
2026-08-11,Australia,🇦🇺,1,"Gladstone, Queensland, Australia",eHealth Queensland,Senior Technology Officer,Site Reliability Engineer,https://www.linkedin.com/jobs/view/4451480862,2026-08-11,No,No,85%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,2026-08-11,Gladstone,1
2026-08-11,France,🇫🇷,2,"Lamballe, Brittany, France",Cooperl do Brasil,Administrateur Applicatif H/F,DevOps Engineer,https://www.linkedin.com/jobs/view/4452106138,2026-08-11,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_FRANCE.docx,No,,2026-08-11,Lamballe,1
,Belgium,🇧🇪,2,"Ypres, Flemish Region, Belgium",Kingfisher Recruitment,System Engineer,Site Reliability Engineer,https://www.linkedin.com/jobs/view/4445514870,2026-08-10,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_BELGIUM.docx,No,,,Ypres,1
2026-08-11,United Kingdom,🇬🇧,1,"Wimbledon, England, United Kingdom",Intec Select,2nd Line Support Engineer,Cloud Engineer,https://www.linkedin.com/jobs/view/4449554863,2026-08-10,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,2026-08-11,Wimbledon,1
2026-08-11,United Kingdom,🇬🇧,1,"Stratford, England, United Kingdom",Network Rail,Asset Engineer [Maintenance] [Anglia],Site Reliability Engineer,https://www.linkedin.com/jobs/view/4451536902,2026-08-10,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,2026-08-11,Stratford,1
2026-08-11,United Kingdom,🇬🇧,1,"Harrow, England, United Kingdom",HIVED,Mid-Level Backend Engineer (Driver Squad),Platform Engineer,https://www.linkedin.com/jobs/view/4451580548,2026-08-10,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,2026-08-11,Harrow,1
2026-08-11,Canada,🇨🇦,1,"Abee, Alberta, Canada",S&amp;P Global,DevOps Engineer,DevOps Engineer,https://www.linkedin.com/jobs/view/4451402002,2026-08-10,No,No,85%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_CANADA.docx,No,,2026-08-11,Abee,1
2026-08-11,Canada,🇨🇦,1,"LaSalle, Ontario, Canada",High Tech Genesis,Cloud DevOps Engineer,DevOps Engineer,https://www.linkedin.com/jobs/view/4452009699,2026-08-10,No,No,85%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_CANADA.docx,No,,2026-08-11,LaSalle,1
2026-08-11,Canada,🇨🇦,1,"North York, Ontario, Canada",Mastercard,Data Engineer II,DevOps Engineer,https://www.linkedin.com/jobs/view/4449828262,2026-08-10,No,No,70%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_CANADA.docx,No,,2026-08-11,North York,1
2026-08-11,Canada,🇨🇦,1,"Charlottetown, Prince Edward Island, Canada",Invesco,Senior Software Quality Engineer,DevOps Engineer,https://www.linkedin.com/jobs/view/4415502548,2026-08-10,No,No,85%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_CANADA.docx,No,,2026-08-11,Charlottetown,1
2026-08-11,Canada,🇨🇦,1,"Kanata, Ontario, Canada",Nokia,Principal Security Lead- Cloud,Cloud Engineer,https://www.linkedin.com/jobs/view/4449821782,2026-08-10,No,No,100%,No,N/A,Country_Resumes/Hemachandiran_Giri_CV_CANADA.docx,No,,2026-08-11,Kanata,1
